event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7226670-1,7226670,0xa5e2ae4dea06235a37defc6d25057169d7f30d2c1ef1c805fd9ea9cec9225056,1,council,Voted,13RDY9nrJpyTDBSUdBw12dGwhk19sGwsrVZ2bxkzYHBSagP2
7226596-1,7226596,0x91ff827d8057fb39585a0ad906bc5e14df9907fac21bcdde0a43f530c880cda6,1,council,Voted,167rjWHghVwBJ52mz8sNkqr5bKu5vpchbc9CBoieBhVX714h
7226581-1,7226581,0xd870d676c71ceebd2882be0cf210412506271c4357dda4e714cee63ef6f9b571,1,council,Voted,1363HWTPzDrzAQ6ChFiMU6mP4b6jmQid2ae55JQcKtZnpLGv
7226488-1,7226488,0x888009fa1e25ec439aa7482460e445b92d4f6c52ec08982105d1f3237f090f70,1,council,Voted,1629Shw6w88GnyXyyUbRtX7YFipQnjScGKcWr1BaRiMhvmAg
7226416-1,7226416,0x10e3895ba83810304be60e2f489faa841a5911199cc62ccc7960179f429107f9,1,council,Voted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7226414-1,7226414,0xad97d0c8fbf3c1c94fd219de6c35aa142cca4d2d5f20de87422a9323dd059842,1,council,Proposed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7166670-1,7166670,0x142b2339d4883cde28fbfd6c67ba0c8603873e1dea21c66158c2a8d5e61d400e,1,council,Closed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7166670-1,7166670,0x142b2339d4883cde28fbfd6c67ba0c8603873e1dea21c66158c2a8d5e61d400e,1,council,Approved,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7166670-1,7166670,0x142b2339d4883cde28fbfd6c67ba0c8603873e1dea21c66158c2a8d5e61d400e,1,council,Executed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7164371-1,7164371,0xbb2fba49e37bd791876c548743e9155a4b304fac5a8fab0bc3e39801b6870802,1,council,Voted,167rjWHghVwBJ52mz8sNkqr5bKu5vpchbc9CBoieBhVX714h
7162485-1,7162485,0x87bb0f667d90e081e1d0c3eba60d6e1007b7490e29a1066f3e303228c303dae0,1,council,Voted,15M65TtSkan662zViJdvgL7HPu16f7cA9KmZc5bMaHF4tzkK
7162303-1,7162303,0x5dee88daeebaf2afc533fb31aefff4cd1f229987b5de4f76c2705f5cb27497aa,1,council,Voted,1629Shw6w88GnyXyyUbRtX7YFipQnjScGKcWr1BaRiMhvmAg
7161859-1,7161859,0xb19627330ee872f224e3314be66165a60fe5b0b12aab405fc140437815acb654,1,council,Voted,12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud
7161057-1,7161057,0x7277cefa4da1519ccbdf9c350dfea73608b11af016fc4f12aedfa68b83e245c0,1,council,Voted,14DsLzVyTUTDMm2eP3czwPbH53KgqnQRp3CJJZS9GR7yxGDP
7161005-1,7161005,0x3eceab1bcfe562634ec9d2f7651cce075aa5d77ce27f295ad14c24fa0c0becf7,1,council,Voted,15coutGrEzX2Dt9hnccGUftmazwST59cTZ2xMNJBPQ8JSncd
7159522-1,7159522,0x77a811977decfb184ed69d662d3bc973b120a1cf09a29b9597e9266d61741827,1,council,Voted,146PzgMxCtWrqahrofr6QrB1NkMMUihwqrUhuSVVxh1R7KcF
7159257-1,7159257,0x578382c9a94a707906ab3d1d9c5ca2ac970f0dc251addbbf4d682356ba621f51,1,council,Voted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7159252-1,7159252,0xa85b2d1a201c6e5a8f17dff36d1091a5754327afc2b26eba109336dbb81edc76,1,council,Proposed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7155956-1,7155956,0x0b06dd1f40046d2e1a468b663cc2d1c6e8f75b94fe9a87a9d2a844a087c445d1,1,council,Closed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7155956-1,7155956,0x0b06dd1f40046d2e1a468b663cc2d1c6e8f75b94fe9a87a9d2a844a087c445d1,1,council,Approved,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7155956-1,7155956,0x0b06dd1f40046d2e1a468b663cc2d1c6e8f75b94fe9a87a9d2a844a087c445d1,1,council,Executed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7155952-1,7155952,0x6e44ed8398262d39534e9254d7813a911645978839fcb8181d84eea28c3a3aae,1,council,Voted,146PzgMxCtWrqahrofr6QrB1NkMMUihwqrUhuSVVxh1R7KcF
