event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
8080833-2,8080833,0xe9f39497b57e08d36bef9e2e9da29f473ab01e7f513b8738ebac2f46f70112e7,2,council,Executed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8080826-4,8080826,0xac58183e402166ea9bfea4d1159e17d8f284586b11de71bad676264d8fe02ab4,4,council,Voted,Dp2J1GeFstcK4bJ2QZyV6PdFvMZsyM4NYDdnuKWn4uwnVfs
8080806-4,8080806,0xbc6410098a79f87b8b9053cb156e307a8dfd5c73cee6d68cbe248edb09db01c7,4,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
8080795-7,8080795,0xf2210ffbb93604193e3e0a03f443dc9d55ec050316ee456d8f535a86a2f14f74,7,council,Voted,EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo
8080488-2,8080488,0x3672a9a0c3332de77d154108ed15b652a7a79d74496145ab092afe2e1fff8ce4,2,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
8080778-5,8080778,0x2826fea3276339488982fef5cc98f82c6b8c24bd8e40e84bfcaba9a3ed128df8,5,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
8080472-2,8080472,0x538641b5c2513aab76b0bb73241bf0a1927cf4b618bfd52bebdd7abdb2549535,2,council,Voted,DbF59HrqrrPh9L2Fi4EBd7gn4xFUSXmrE6zyMzf3pETXLvg
8080076-2,8080076,0xd6aebb59aa794a3524a9e108465b92305cecfe8d914ccc9c8bcc535c08423886,2,council,Voted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
8080122-5,8080122,0xcd15a8d0f3aca55891df2d9ef0a4dfadc82a9300ab4b3a72f3dd8868e0a0fd48,5,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
8080040-3,8080040,0x51032fb3b9b7cc8cfa2593339c612a17b30d590a40577cfeb8fc64e11e1c3ad4,3,council,Voted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
