event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
6477332-1,6477332,0x5bc13d768dae01ddb65987295ae5857cf0226f2d6b44c8b2c13a10ca9e789e55,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6477088-1,6477088,0xb0c2eabc74c76ad8bde0e7564a292689de28ac2d9f11482ecfee91b1b96c8ede,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6477083-1,6477083,0x0c92ac6431515f939a954957a5fbffca1e34f1c024a67705b1d2c13a887e2a78,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6476799-1,6476799,0x82e00581ea013a7c34654e6cb74499b4e0850cc7f4b1b2f4f64308ec9e7d516b,1,society,Bid,Fr57VRE5sLYhDgdtRUamFzyYBWxvhzgEfYi6MEHFwusabYd
6476797-1,6476797,0xc8317a30d6dd56c1d6c986c9bf58c95399f512f5e34a3b2b12f67dec18af6b1e,1,society,Unbid,Fr57VRE5sLYhDgdtRUamFzyYBWxvhzgEfYi6MEHFwusabYd
6476473-1,6476473,0x9cefdcd31afd8d6adcd3be38a80c05bd5ed042ee2580b70b59d8a032c9ba8902,1,society,Vote,J9c2fcmRhhNaJAxA8yLMkxap7PEWuYc1UaaTqxunfKscjG3
6476493-1,6476493,0xc35482c105993acc2cd431f045faf25044285265b9fd578350e152c4116d7516,1,society,Vote,Fomib3HNL24Cv6CbLJUf59yDF5shGFyDg8Wx7eGtmDdwrRF
6476469-1,6476469,0xf0da90dda8e30d857067081a64a81b6ead8ac34d797013df5a9d233af4562d3a,1,society,Vote,J9c2fcmRhhNaJAxA8yLMkxap7PEWuYc1UaaTqxunfKscjG3
6475248-1,6475248,0xee5d19ec00cb67323e239018a1615d7dafbe2eb5f78466c6ba33f51a44d5c5c0,1,society,Vote,GHTohCLUcLyB8w4xMr4TyDkvUzDnim6fadWfJ7edPke971d
6475251-1,6475251,0xc234e0c902681c3ee588d195d1849b4d8cafbb068d7cc245ce9ab2d66186062d,1,society,Vote,GHTohCLUcLyB8w4xMr4TyDkvUzDnim6fadWfJ7edPke971d
6475100-1,6475100,0x0674a1661b8da5e1aefe9f47fd45ed363e3e06c00d40cafb59b8031eadbea45d,1,society,Vote,H4YEv9v4DzU6WJsF2pxSHGcVxZEZDS761XWYsnRKX7P3aMQ
6475103-2,6475103,0x43de4288d53c66f0d84bb6d560bfb8bfa1b081692f5e3cbd7079873013443022,2,society,Vote,H4YEv9v4DzU6WJsF2pxSHGcVxZEZDS761XWYsnRKX7P3aMQ
6473211-1,6473211,0xc64e15e778fe9ba4f25dc305ea4c708fe38b2d5a097c1c8f1fa82eed2ed0e5ed,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
