event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7160679-1,7160679,0x7e7d605ca6e59f63a8f40a6bc5e57f95a5e9582359763b2e59efa28749dbfd7e,1,democracy,Delegated,12MgK2Sc8Rrh6DXS2gDrt7fWJ24eGeVb23NALbZLMw1grnkL
7157007-1,7157007,0x57a6ea4227cf7075aa4a7ee70b9d3a96f312d29950d6751c2b106dca0bf3eb10,1,democracy,Started,16SDAKg9N6kKAbhgDyxBXdHEwpwHUHs2CNEiLNGeZV55qHna
7150834-2,7150834,0x809e88dfa9a8321923ed57c09ee11c39347d94420adde7c5c0a0388ceeff145e,2,democracy,Undelegated,13ECQ1DsSHKgqdiPqLKbcSQD146KBpUNF8V3Ku6jipUgBofu
7116280-2,7116280,0xc539f30c5f7e7bf673c08020d4f09698f45e32101bcd9d61174a5bd83b31916e,2,democracy,Delegated,13Umvr53CRhUWsUkR9Uw3KAY4p7LnwkjK3UWvSH955MqoHkc
7116278-1,7116278,0x35a5120277445cc48152812ce5146faf3746c8535d8d6073ec570a97813b2baa,1,democracy,Delegated,13Umvr53CRhUWsUkR9Uw3KAY4p7LnwkjK3UWvSH955MqoHkc
7116276-3,7116276,0xfe44b9e5ad38b39d8add821c25a0e9a61d20afe60acf79c89663c8912910e35b,3,democracy,Delegated,12YdCZbmsxFHAnt4Fmh6LpWpKmLFmdfspUFWPH76939MufeW
7116271-2,7116271,0xee242d38355b21cc52a7ce6a4cb3aaab15a85825bdbd8ed362e48f12983c310a,2,democracy,Delegated,14hM4oLJCK6wtS7gNfwTDhthRjy5QJ1t3NAcoPjEepo9AH67
6979888-3,6979888,0xc6a5107aad1fca37e082d0619aeee6135e26b4c4e725bef39332facdb4d60b8a,3,democracy,Undelegated,15KqnYHZG2BDytPua1vLniV28zoWQjiFy3RJ9vd8aZknDYyP
6948187-1,6948187,0xdc33641aa6fc18970cfcf518c20bdb3041390e1b71a90a7871830786d6f078aa,1,democracy,Undelegated,1xNYC4RNWDXECegNsx4T9AMfQqzxreWdHVP7bQzwB4xStDe
6926745-0,6926745,,0,democracy,PreimageUsed,
6939739-1,6939739,0xe75874eeb0af5a4d62cc9e4cd90aa976419cde3230949599409b06a8eb26046c,1,democracy,Undelegated,15D1Y2gVXiiMqg1vCSPtaZTPNH3UnLawMWmqUafjo9aLKVWi
6926745-0,6926745,,0,democracy,Executed,
6926145-0,6926145,,0,democracy,Passed,
6905214-3,6905214,0x31d4c81029f9b4d9ffde92bab66a016eebd691018553776e6b62c443c520c994,3,democracy,Undelegated,13zNDaJWg27589csPXp4k5uhPcPdQ4XYAfEEAkAb2jrrt7WQ
6854400-0,6854400,,0,democracy,Tabled,
6856919-1,6856919,0x636c99f2e2acbe87836c8f97ff11eb299515c01a7f43c4382649623a1c7f9997,1,democracy,Delegated,1j78fcZZueKmT8fhEmhNa835Sp4CazisHQ4CVhXQh34MxYy
6854400-0,6854400,,0,democracy,Started,
6854400-0,6854400,,0,democracy,NotPassed,
6840695-3,6840695,0xceb5945ca99e85ba8a380664437dee2ff4a013b52eb095bf001525e67accfb22,3,democracy,Delegated,1488HHCrUNBkoGf5GrsyDeFJpfKbV1wGv9a1zgyMePHtqQiR
