event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
2552476-3,2552476,0xaa1543c6cc4d24ea185b1323d92f24552542d859519ba11a0fccbd14604cdd8d,3,democracy,Proposed,Hbh1PWzxAeBK8LfCvgajTCZWrJHJnzy7m4xoACN2zCZRUC2
2576389-3,2576389,0x27d236dc45a817de8c9e3007a082c18461d01761140e5b3504e6296e54321e7a,3,democracy,Delegated,
2551426-0,2551426,,0,democracy,Executed,
2551416-0,2551416,,0,democracy,Passed,
2576384-2,2576384,0x93930ccbd2ade94f545e4590561f502582ac78a5a935e61908defde1d4fa446b,2,democracy,Delegated,D2iw2Hvk2gYL5du6mbY4eCWsZ3ffDgNybm38oUfsGHv7zyv
2534400-0,2534400,,0,democracy,PreimageUsed,
2549616-3,2549616,0xbebc96d9ac3da29779f6c937c8773ae6402fc75e7cb96d33dd1a1d11bb6f6e4c,3,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
2534400-0,2534400,,0,democracy,Executed,
2533265-3,2533265,0xf83c0c177020b031a3f921343b61732dfd3c2ae4d9836c10afa5476b823c7220,3,democracy,PreimageNoted,CadXL6ZfQ8JrrV2YF65U1jrRxZoT5qAyaqm3JY3kBAujNqq
2520000-0,2520000,,0,democracy,Tabled,
2520000-0,2520000,,0,democracy,Started,
2520205-3,2520205,0x84e65444f9150a53348ebe9af2f6b8947dc1b16646f17cec0789c47638f90e30,3,democracy,Proposed,CiwMY9rBBUnUw8Wr14itjHKGz3e5rBKtyJJe25vw5iqgs7B
2520000-0,2520000,,0,democracy,Passed,
2521557-2,2521557,0x7b16ea6ea7cdf4c6d5fd123f92726af700c19da507a62b70c456d1537a41163a,2,democracy,PreimageNoted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
2520038-2,2520038,0xd28c00896d9d6055b8a60eb5a01775e57295ee27828d4903deb0737adf1e4f72,2,democracy,Proposed,EDkyLR1J19e9agASF6PK649jiheqD95tRweFNyzTg11Xug4
2433600-0,2433600,,0,democracy,PreimageUsed,
2433600-0,2433600,,0,democracy,Executed,
2419200-0,2419200,,0,democracy,Tabled,
2419200-0,2419200,,0,democracy,Started,
2419200-0,2419200,,0,democracy,Passed,
2405780-0,2405780,,0,democracy,PreimageUsed,
2409983-3,2409983,0x83945dbb23634d2855d0d628900f4bae0712e6461b19580015443a8c7931c4af,3,democracy,PreimageNoted,EDkyLR1J19e9agASF6PK649jiheqD95tRweFNyzTg11Xug4
2405780-0,2405780,,0,democracy,Executed,
2405770-0,2405770,,0,democracy,Passed,
2403970-2,2403970,0xc427c94d69771435b100c035ac130a28e485ce251061119cda33427c7e74fa4a,2,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
2402742-3,2402742,0xca4e1715541148d6a7f2374e65f63242e24a6e77e420839f679b8603b0d508ba,3,democracy,PreimageNoted,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
2332800-0,2332800,,0,democracy,PreimageUsed,
2390012-3,2390012,0x909967a7b02f9bb830e1bc47b2c9001ff97e948a335b5ab183708c95a409d2ef,3,democracy,PreimageNoted,EDkyLR1J19e9agASF6PK649jiheqD95tRweFNyzTg11Xug4
2332800-0,2332800,,0,democracy,Executed,
2321928-3,2321928,0x1a01ff22e3f71846a979cb7955128642ceff88de16fa01af6be49e7359f2fa85,3,democracy,Proposed,EDNEfKXHd645DPpBhLZjaEwp4sPhj4STjjS4QrMbFU1FqbZ
2318400-0,2318400,,0,democracy,Tabled,
2318400-0,2318400,,0,democracy,Started,
2321923-3,2321923,0x84bcc50448af8d2a464b8c1beb52164353dd771e8d0877eee7ac30e87a351e35,3,democracy,PreimageNoted,EDNEfKXHd645DPpBhLZjaEwp4sPhj4STjjS4QrMbFU1FqbZ
2318400-0,2318400,,0,democracy,Passed,
2289833-2,2289833,0x0dc096198d167c00dfea34c0612477e9d0b276dfd7a4cbd82837b808a6004243,2,democracy,Undelegated,EtHKJCxSzgwYjVRkDwAq3Kuqjxd41rKYYTpxRsdAPZEsPcP
2289747-3,2289747,0x0163081792294c0513a8bfda427e74b5fe1a4e71841a5ed470c2ff210158050a,3,democracy,Undelegated,JCnwcngxuPyiRivyW93XEhQSgoKU8YEKkXzACw7jD3GEZrd
2238083-3,2238083,0xc3855cea7fe27d29fec51910584a185248692f96ce19f61b22945642452c7825,3,democracy,Proposed,HhfEhtERhgf6xw35YwJjd7rWH6ayduomRnUMEtqGCtMDYBe
2232000-0,2232000,,0,democracy,PreimageUsed,
2238062-2,2238062,0xcd8fde74e8ffe12252f95d44ae425237bd84c7a66e78575670cf28868b6a7ec9,2,democracy,PreimageNoted,HhfEhtERhgf6xw35YwJjd7rWH6ayduomRnUMEtqGCtMDYBe
2278952-3,2278952,0x8fc30c80d44d770c6ab366de83b28c85466f70708f07d90a766d090e84c2c83b,3,democracy,Undelegated,D3icRvk43Bj69ChTPkx5v4pEQKGqDY95hHXiBB1JBFVwtvP
2232000-0,2232000,,0,democracy,Executed,
2217600-0,2217600,,0,democracy,Tabled,
2217600-0,2217600,,0,democracy,Started,
2217600-0,2217600,,0,democracy,Passed,
2208410-2,2208410,0xbd0bc9745c10351fb0d4ce87cd77c8ec8f08aa5254ecfcb002bb2a0d051e996e,2,democracy,PreimageNoted,FqfW96FuXRH7pRy9njeNSxu4CNoBM1hKnVAmNRrFrU2izwj
2201991-0,2201991,,0,democracy,PreimageUsed,
2201991-0,2201991,,0,democracy,Executed,
2194191-0,2194191,,0,democracy,Passed,
2208382-3,2208382,0xadde3ae57c8a28687e47bd8e882aca0468473ee68e759bd0ece6faa34c294bd9,3,democracy,Proposed,FqfW96FuXRH7pRy9njeNSxu4CNoBM1hKnVAmNRrFrU2izwj
2116800-0,2116800,,0,democracy,Tabled,
